category,product_description,review_date,review_rating,review_title,review_text,verified_purchase,sentiment,length,similarity,deviation,label
Personal Care,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,1/26/2019,5,A miracle in a bottle! Absolutely love this product!,"I suffer with dry sensitive skin and vaseline is one of very few products that doesn't make my skin flare up and itch like crazy!The first thing I noticed was the beautiful fresh smell that escaped as I lifted the cap, as I applied a drop to my skin I instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers I've tried! I use this product every day and it has improved my dry skin condition massively couldn't recommend this product enough I absolutely love it! [This review was collected as part of a promotion.]",False,0.9535,119,0.04287821581835988,0.515625,Fake
Homecare,Surf  Tropical Lily Washing Liquid 85 Wash 3L,1/3/2019,5,"Lingering, comforting smell and cleans really well",Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely,True,0.953,50,0.02812491769559467,0.3461538461538458,Genuine
Homecare,Surf  Tropical Lily Washing Liquid 85 Wash 3L,1/4/2019,5,Very happy with it,Very happy with it,True,0.6115,4,0.012132483391109498,0.3461538461538458,Fake
Homecare,Persil  Silk and Wool Washing Liquid 15 Wash 750ml,1/28/2019,5,Perfect for cashmere sweaters and silk tops,I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase,True,0.8479,34,0.022037773581532194,0.0,Genuine
Personal Care,Vaseline Intensive Care Aloe Soothe Body Lotion 400ml,1/28/2019,5,Skin so soft.. highly recommend!,So prior to receiving this I had pretty rough elbows in particular and my skin feels dry. As a busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me the perfect opportunity to reconnect with myself and have a bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit the first time I put this on I wasn\u2019t sure about the smell. It\u2019s not offensive it\u2019s like a cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all the time.. however by day 3 I actually liked the smell. Application: it went on nicely not too thick and soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for a fab product trial and for introducing me to Vaseline Aloe! [This review was collected as part of a promotion.],False,0.9912,210,0.02969043949852529,0.515625,Fake
Personal Care,Lynx Africa Body Spray Deodorant Aerosol 200ml,1/14/2019,5,"As described, quick delivery",Happy with item,True,0.5719,3,0.010993442344435177,0.18181818181818166,Fake
Personal Care,Simple Water Boost Skin Quench Sleeping Cream 50ml,1/1/2019,5,Light as a feather,"I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]",False,0.8608,58,0.03647002731764375,0.8125,Fake
Personal Care,Alberto Balsam  Coconut & Lychee Shampoo 350ml,1/30/2019,5,Good,Smells nice,True,0.4215,2,0.029362175683100733,0.0,Fake
Personal Care,Tresemme  Cleanse & Replenish Shampoo 900ml,1/1/2019,5,Great.,A great deal on treseme shampoo giving a long lasting supply so you don’t need to keep buying more and very good price.,True,0.8737,26,0.032234276781958345,0.0,Genuine
Personal Care,Lynx Africa Body Spray Deodorant Aerosol 200ml,1/14/2019,5,"As described, quick delivery",Happy with item,True,0.5719,3,0.010993442344435177,0.18181818181818166,Fake
Personal Care,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/1/2019,5,Dove Men’s + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True,0.5707,45,0.018913674702076336,0.6052631578947372,Genuine
Homecare,Comfort  Sunshiny days Fabric Conditioner 85 Wash 3L,1/2/2019,5,Lenor,Great value,True,0.7579,2,0.0609742067784455,0.0,Fake
Homecare,Comfort  Sunshiny days Fabric Conditioner 85 Wash 3L,1/4/2019,5,Great price delivered to your door,Love this comfort,True,0.7717,3,0.019368251677830947,0.0,Fake
Foods,Colman's  Cheddar Cheese Sauce Mix 40g,1/1/2019,1,yuck,Horrible.,False,-0.5423,2,0.0012902749165077136,1.0,Fake
Personal Care,Lynx  Black Shower Gel 400ml,1/2/2019,5,a great product,a great buy,True,0.6249,3,0.05052138970772217,0.17647058823529438,Fake
Homecare,Persil  Colour Washing Liquid 60 Wash,1/4/2019,3,"Love the design of the container but it is heavily perfumed, not for me!","Love the container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick and gloopy (hard to be economical) and it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!",True,0.9347,60,0.016047917893612214,1.5,Genuine
Homecare,Persil  Colour Washing Liquid 60 Wash,1/8/2019,5,Great for darks,Washes sharks well,True,0.2732,3,0.004686322580205682,0.5,Fake
Homecare,Persil  Colour Washing Liquid 60 Wash,1/27/2019,5,excellent,excellent,True,0.5719,1,0.012677403850626727,0.5,Fake
Homecare,Persil  Colour Washing Liquid 60 Wash,1/6/2019,5,Good,Thank you I’m very happy,True,0.7574,7,0.011157297532670146,0.5,Fake
Personal Care,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/2/2019,5,Christmas smellies,Good pleasant smelling deoderant boys will love it at christmas.,True,0.886,11,0.020017150634536587,0.6052631578947372,Genuine
Personal Care,Tresemme  Moisture Rich Shampoo 900ml,1/2/2019,4,Good shampoo,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,True,0.0,16,0.008691929494101653,0.5999999999999996,Genuine
Personal Care,Simple Kind To Skin Purifying Cleansing Lotion 200ml,1/2/2019,5,Best Make-up remover product,"Have used a lot of make-up brands and in the past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently and as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze the bottle appropriately onto the cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?",False,0.9349,100,0.014361438641862205,0.0,Fake
Foods,Marmite  Spread Yeast Extract 250g,1/2/2019,5,can't beat it,not sure why the big jar costs more than double this size though!,False,-0.308,14,0.005573242235565177,0.0,Fake
Homecare,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,1/2/2019,5,what a bargain,"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",True,0.7351,32,0.029074541681205712,0.8409090909090908,Genuine
Homecare,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,1/2/2019,5,Great,"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",True,0.8475,25,0.01671677147396613,0.8409090909090908,Genuine
Homecare,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,1/1/2019,5,Lovely scent,"Great buy, smells gorgeous",True,0.8442,5,0.03649138518043209,0.8409090909090908,Fake
Homecare,Comfort  Pure Fabric Conditioner 166 Wash 5L,1/2/2019,5,what a bargain,"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",True,0.7351,32,0.029074541681205712,0.6111111111111107,Genuine
Homecare,Comfort  Pure Fabric Conditioner 166 Wash 5L,1/1/2019,5,Lovely scent,"Great buy, smells gorgeous",True,0.8442,5,0.03649138518043209,0.6111111111111107,Fake
Homecare,Comfort  Pure Fabric Conditioner 166 Wash 5L,1/2/2019,5,Great,"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",True,0.8475,25,0.01671677147396613,0.6111111111111107,Genuine
Personal Care,Dove  Original Beauty Cream Bar 4 x 100g,1/2/2019,5,Texture,Texture liked.used for bath/shower,True,0.0,4,0.010028815050941265,0.0,Fake
Homecare,Comfort Ultra Concentrated Pure Fabric Conditioner 38 Wash 570ml,1/14/2019,5,super buy,shared with family,True,0.34,3,0.003114124980808807,0.2727272727272725,Fake
Homecare,Comfort Ultra Concentrated Pure Fabric Conditioner 38 Wash 570ml,1/6/2019,5,We love the smell,We love it and even better when it’s on a deal,True,0.7964,13,0.01642507185291396,0.2727272727272725,Genuine
Homecare,Comfort Ultra Concentrated Pure Fabric Conditioner 38 Wash 570ml,1/4/2019,5,Good seller,Great product!,True,0.6588,3,0.06305528248836016,0.2727272727272725,Fake
Personal Care,Dove  Deeply Nourishing Body wash 500ml,1/1/2019,4,Not as advertised,"Bought items to give as gifts, it was advertised as Dove Moisturising Deeply Nourishing Body Wash but I received Dove idratante bagnodoccia di belleza, a language I cannot read. Even has a less distinct fragrance.",True,0.0,40,0.00822149212398083,0.5238095238095237,Genuine
Personal Care,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/2/2019,5,Christmas smellies,Good pleasant smelling deoderant boys will love it at christmas.,True,0.886,11,0.020017150634536587,0.6052631578947372,Genuine
Personal Care,Dove Men+Care  Invisible Dry Aerosol Anti-perspirant Deodorant 250ml,1/2/2019,4,"Good price, good product","Good price and nice smell, not overpowering. Doesn’t leave white powdery mess like some anti perspirents do. Happy.",True,0.8046,24,0.030132678061746576,0.5,Genuine
Personal Care,Tresemme  Cleanse & Replenish Shampoo 900ml,1/1/2019,5,Great.,A great deal on treseme shampoo giving a long lasting supply so you don’t need to keep buying more and very good price.,True,0.8737,26,0.032234276781958345,0.0,Genuine
Personal Care,Tresemme  Moisture Rich Shampoo 900ml,1/2/2019,4,Good shampoo,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,True,0.0,16,0.008691929494101653,0.5999999999999996,Genuine
Personal Care,Simple Kind to Skin Exfoliating Facial Wipes 25 Wipes,1/1/2019,5,Good buy,"Good wipes, good buy",True,0.7003,5,0.05407473251511158,1.8888888888888888,Fake
Foods,Marmite  Spread Yeast Extract 500g,1/2/2019,5,Great for a marmite lover!,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True,0.8803,36,0.008671420385735174,0.17647058823529438,Genuine
Personal Care,Lynx  Black Shower Gel 400ml,1/2/2019,5,a great product,a great buy,True,0.6249,3,0.05052138970772217,0.17647058823529438,Fake
Homecare,Comfort Creations Cherryblossom & Sweetpea Fabric Conditioner 33 Wash 1.16L,1/1/2019,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,True,0.4215,11,0.02556505155278899,0.3636363636363633,Genuine
Homecare,Comfort  Strawberry & Lily Fabric Conditioner 33 Wash,1/1/2019,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,True,0.4215,11,0.02556505155278899,0.2631578947368425,Genuine
Homecare,Comfort  Honeysuckle & Sandalwood Fabric Conditioner 33 Wash,1/1/2019,5,"Smells great, misses well happy",Nice fragrance and it seems to last on the clothes.,True,0.4215,11,0.02556505155278899,0.36842105263157876,Genuine
Personal Care,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/1/2019,5,Dove Men’s + Deodorant,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True,0.5707,45,0.018913674702076336,0.6052631578947372,Genuine
Foods,Marmite  Spread Yeast Extract 500g,1/2/2019,4,Vitamin B12.,Excellent,True,0.5719,1,0.012677403850626727,0.8235294117647056,Fake
Personal Care,Tresemme Keratin Smooth Heat Protection Spray 200ml,1/3/2019,5,Leaves coloured hair shiny!,"I've been Using tresemme products for years. Previously the regular heat protection but after being recommended this one for colour treated hair gave it a go and Ive not looked back! Leaves my hair with a lovely shine, ive got dyed red hair so it can be hard to keep looking healthy. Seems to do a Good job with heat protection too. I only dry my hair, no straighteners or tongs but seems to keep the damage away",False,0.8122,85,0.0214750893915247,0.0,Fake
Personal Care,Tresemme  Heat Defence Spray 300ml,1/3/2019,5,Great Value,So much cheaper than in Boots. Great value!!!,True,0.8114,12,0.030990598578063928,0.4146341463414638,Genuine
Homecare,Domestos Power 5 Lime Toilet Rim Block 1pc,1/3/2019,2,Nope,"I like the blue version but this is such an overpowering, awful smell it had to be binned.",False,-0.5023,20,0.012441109358088473,1.5,Fake
Homecare,"Persil Powercaps Bio Washing Capsules 50 Wash, 1350g",1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,0.9042,73,0.03691218989039389,0.5714285714285712,Genuine
Homecare,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,1/3/2019,5,Comfort softener,Excellent value and you don't hav to carry it,True,0.7269,10,0.01878340829461463,0.8409090909090908,Genuine
Homecare,Comfort  Sunshiny Days Fabric Conditioner 166 Wash 5L,1/3/2019,5,Price,Washing,True,0.0,1,0.01567708760747535,0.8409090909090908,Fake
Homecare,Comfort  Pure Fabric Conditioner 166 Wash 5L,1/3/2019,5,Comfort softener,Excellent value and you don't hav to carry it,True,0.7269,10,0.01878340829461463,0.6111111111111107,Genuine
Homecare,"Persil Powercaps Non Bio Washing Capsules 50 Wash, 1350g",1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,0.9042,73,0.03691218989039389,0.4920634920634921,Genuine
Homecare,"Persil Powercaps Colour Washing Capsules 38 Wash, 1026g",1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,0.9042,73,0.03691218989039389,0.5555555555555554,Genuine
Homecare,"Persil Powercaps Bio Washing Capsules 38 Wash, 1026g",1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,0.9042,73,0.03691218989039389,0.5,Genuine
Homecare,Surf  Tropical Lily Washing Liquid 85 Wash 3L,1/3/2019,5,Best washing liquid,Lovely fresh smell,True,0.7269,3,0.03429098181038422,0.3461538461538458,Fake
Homecare,Comfort Intense Fuchsia Passion Fabric Conditioner 38 Wash 570ml,1/3/2019,5,happy,great item,True,0.6249,2,0.026692224631201623,0.2564102564102564,Fake
Foods,Pot Noodle  Sticky Rib Standard 90g,1/3/2019,5,Noodle tastic,What’s not to like noodles that taste like spare ribs,True,-0.4973,12,0.009522686442784423,1.4285714285714284,Genuine
Homecare,"Persil Powercaps Non Bio Washing Capsules 38 Wash, 1026g",1/3/2019,5,Great cleaning.... Great value pack of 3,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,0.9042,73,0.03691218989039389,0.6190476190476186,Genuine
Personal Care,Tresemme  Heat Defence Spray 300ml,1/3/2019,5,Great Value,So much cheaper than in Boots. Great value!!!,True,0.8114,12,0.030990598578063928,0.4146341463414638,Genuine
Personal Care,Dove  Invisible Dry Anti-perspirant Deodorant Stick 40ml,1/3/2019,5,Good if you have sensitive skin,"This is a good deodorant if you have easily irritated skin. It's like Dove soap in that it doesn't seem to irritate or dry out skin. I've used Dove soaps for quite a long time and this is certainly something which they are good for, this seems to be as good as all of them. It's main selling point, beyond being an effective 24 hour deodorant, is that it is not prone to marking your clothes. It certainly seems to work as far as that goes too, though we haven't been able to test on every single colour. Good though. Recommended.",False,0.9703,117,0.03763551078276012,1.4,Fake
Homecare,Comfort  Pure Fabric Conditioner 166 Wash 5L,1/3/2019,5,Price,Washing,True,0.0,1,0.01567708760747535,0.6111111111111107,Fake
Personal Care,Dove  Deeply Nourishing Body wash 500ml,1/3/2019,5,The real dove not a copy.,Great body wash. Cheap and fast delivery,True,0.6249,7,0.027788617085390467,0.4761904761904763,Fake
Foods,Hellmann's  Real Mayonnaise 600g,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,0.7227,26,0.010899781877162071,1.3333333333333335,Fake
Foods,Hellmann's  Real Mayonnaise 400g,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,0.7227,26,0.010899781877162071,0.0,Fake
Personal Care,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/4/2019,1,Angry and useless product,"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",True,-0.8585,27,0.01032912067283127,3.394736842105263,Fake
Personal Care,Sure  Active Dry Anti-perspirant Deodorant Aerosol 250ml,1/4/2019,5,Sure men,Bought this for my step dad,True,0.0,6,0.004051770752284665,0.0,Fake
Personal Care,Lynx Africa Body Spray Deodorant Aerosol 200ml,1/4/2019,5,Lynx effect? Definitely depends on the person,Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,True,-0.4271,24,0.026608439760979326,0.18181818181818166,Genuine
Personal Care,Lynx Africa Body Spray Deodorant Aerosol 200ml,1/4/2019,5,Good price,Great gift,True,0.7906,2,0.02222481117891401,0.18181818181818166,Fake
Foods,Hellmann's  Real Squeezy mayonnaise 750ml,1/4/2019,5,classic and the best,This is a classic and you know when its Hellmans Mayo. Cap stays so much cleaner than the jar. Tastes great with EVERYTHING!,False,0.7484,26,0.010872246558012364,1.2000000000000002,Fake
Personal Care,Simple Kind to Skin Exfoliating Facial Wipes 25 Wipes,1/4/2019,5,Cool,Cool,True,0.3182,1,0.0011081055873064223,1.8888888888888888,Fake
Homecare,Comfort Intense Fresh Sky Fabric Conditioner 38 Wash 570ml,1/4/2019,5,Good seller,Great product!,True,0.6588,3,0.06305528248836016,0.3488372093023253,Fake
Personal Care,Vaseline Intensive Care Cocoa Radiant Body Gel Oil 200ml,1/4/2019,5,Cocoa Butter Skin,Absolutely great moistures for dry skin. Can complain. It’s smells great of the skin if you like that coca butter smell.,True,0.8685,26,0.04012226765091713,0.0,Genuine
Homecare,Persil & Comfort  New Baby Essential Laundry Kit (3 Items),1/4/2019,5,Persil combo buy,Great package buy,True,0.6249,3,0.02920654934237066,0.34999999999999964,Fake
Personal Care,Lynx Africa Body Spray Deodorant Aerosol 200ml,1/4/2019,5,Good price,Great gift,True,0.7906,2,0.02222481117891401,0.18181818181818166,Fake
Personal Care,Lynx Africa Body Spray Deodorant Aerosol 200ml,1/4/2019,5,Lynx effect? Definitely depends on the person,Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,True,-0.4271,24,0.026608439760979326,0.18181818181818166,Genuine
Personal Care,Dove Men+Care  Invisible Dry Aerosol Anti-perspirant Deodorant 250ml,1/4/2019,5,Invisible and smell lovely,Works well and truly invisible,True,0.6124,5,0.004976260314852322,0.5,Fake
Personal Care,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/4/2019,1,Angry and useless product,"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",True,-0.8585,27,0.01032912067283127,3.394736842105263,Fake
Personal Care,Dove Men+Care  Extra Fresh Anti-perspirant Deodorant Aerosol 250ml,1/5/2019,3,Well priced,Nice and cost effective,True,0.7096,4,0.012558153912044972,1.3947368421052628,Fake
Personal Care,Tresemme  Heat Defence Spray 300ml,1/5/2019,5,Great,Great,True,0.6249,1,0.052848503523712655,0.4146341463414638,Fake
Homecare,Domestos  15 Minute Sink & Pipe Unblocker 500ml,1/5/2019,5,Great,Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,True,-0.4939,29,0.00821437066438327,1.727272727272727,Fake
Homecare,Comfort Intense Fuchsia Passion Fabric Conditioner 64 Wash 960ml,1/16/2019,4,Pleasant scent,"This is my favourite scent from the intense range, smells lovely and lasts ages on my clothes. I do use more than the recommended amount otherwise the scent isn’t very strong, so it definitely doesn’t do 64 washes, probably half that.",False,0.9142,50,0.028488390189052273,0.5294117647058822,Fake
Homecare,"Persil Powercaps Colour Washing Capsules 38 Wash, 1026g",1/5/2019,5,my favourite detergent,I find these to be the best for my laundry and a part of that includes only using one - not over dosing like I do with liquid or powders. smells great and washes well.,False,0.8515,37,0.023971236558951187,0.5555555555555554,Fake
Refreshment,Solero Exotic Ice Cream 3 x 90ml,1/5/2019,5,gorgeous,And under 150 calories for a really big portion,False,0.0,9,0.006176936919355886,0.0,Fake
Foods,Hellmann's  Real Mayonnaise 400g,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,0.7227,26,0.010899781877162071,0.0,Fake
Foods,Hellmann's  Real Mayonnaise 600g,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,0.7227,26,0.010899781877162071,1.3333333333333335,Fake
Foods,Hellmann's  Real Mayonnaise 800g,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,0.7227,26,0.010899781877162071,3.2,Fake
Foods,Hellmann's  Real Squeezy mayonnaise 430ml,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,0.7227,26,0.010899781877162071,0.0,Fake
Foods,Hellmann's  Real Squeezy mayonnaise 750ml,1/4/2019,1,Why plastic?,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,0.7227,26,0.010899781877162071,2.8,Fake
